tag,pattern,response
Projelerim,proje hak bilgi vermek,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Adresim,konum bilgin vermek,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Hobilerim,hobi,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Mevcut İşim,mevcut pozisyon,2024 Haziran ayından beri ARAL bünyesinde bulunan Hometech firmasında Ar-Ge merkezinde yazılım geliştirici olarak görev yapıyorum.
Projelerim,üzeri çalışmak proje,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Kendimi Tanıtayım,alaka bilgi vermek,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
İş Deneyimim,tür proje,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
Kariyer Hedeflerim,hedef,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
Mail Adresim,mail atmak,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
Yaşım,yaş,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Yaşım,doğum tarih,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Yaşım,doğum gün zaman,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Projelerim,api entegrasyon proje anlamak,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Yabancı Dillerim,dil rahat iletişim kurmak,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Becerilerim,cache sistem hak bilgin,"Web geliştirme (hem Back-end hem Front-end), mobil uygulama geliştirme ve yapay zeka alanlarında deneyime sahibim. Back-end tarafında C# ile .NET Framework ve ASP .NET Core Web API kullanarak, MySQL ve MSSQL tabanlı veri modelleri üzerinde çalıştım; Entity Framework ile ORM uygulamaları geliştirip, n-katmanlı mimariler tasarladım; Redis ile önbellekleme çözümleri oluşturdum. Front-end geliştirmede HTML5, CSS3 ve modern JavaScript (ES6+) ile temelden başlayarak, Angular framework ve TypeScript ile ölçeklenebilir kullanıcı arayüzleri inşa ettim; Bootstrap ile hızlı prototipleme yaptım. Mobil alanda Java ile Android uygulamaları geliştirdim ve yapay zeka projelerinde model eğitimi, entegrasyonu ve optimizasyon süreçlerine katkı sağladım."
Adresim,bulunmak lokasyon,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Eğitim Geçmişim,akademik derece,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Mevcut İşim,an çalışmak,2024 Haziran ayından beri ARAL bünyesinde bulunan Hometech firmasında Ar-Ge merkezinde yazılım geliştirici olarak görev yapıyorum.
Mail Adresim,mail,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
Mail Adresim,e-posta üzeri iletişim kurmak,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
İş Deneyimim,pozisyon bulunmak,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
İş Deneyimim,tecrübe hak bilgi vermek,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
