tag,pattern,response
Projelerim,Projelerin hakkında bilgi verir misin?,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Adresim,Konum bilgini verebilir misin?,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Hobilerim,Hangi hobilerin var?,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Mevcut İşim,Mevcut pozisyonun ne?,2024 Haziran ayından beri ARAL bünyesinde bulunan Hometech firmasında Ar-Ge merkezinde yazılım geliştirici olarak görev yapıyorum.
Projelerim,Üzerinde çalıştığın projeler neler?,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Kendimi Tanıtayım,Seninle alakalı bilgi verir misin?,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
İş Deneyimim,Ne tür projeler yaptın?,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
Kariyer Hedeflerim,Hedeflerin nelerdir?,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
Mail Adresim,Bana mail atabilir miyim?,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
Yaşım,Kaç yaşındasın?,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Yaşım,Doğum tarihin ne?,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Yaşım,Doğum günün ne zaman?,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Projelerim,API entegrasyon projesini anlatır mısın?,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Yabancı Dillerim,Hangi dillerde rahat iletişim kurarsın?,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Becerilerim,Cache sistemleri hakkında bilgin var mı?,"Web geliştirme (hem Back-end hem Front-end), mobil uygulama geliştirme ve yapay zeka alanlarında deneyime sahibim. Back-end tarafında C# ile .NET Framework ve ASP .NET Core Web API kullanarak, MySQL ve MSSQL tabanlı veri modelleri üzerinde çalıştım; Entity Framework ile ORM uygulamaları geliştirip, n-katmanlı mimariler tasarladım; Redis ile önbellekleme çözümleri oluşturdum. Front-end geliştirmede HTML5, CSS3 ve modern JavaScript (ES6+) ile temelden başlayarak, Angular framework ve TypeScript ile ölçeklenebilir kullanıcı arayüzleri inşa ettim; Bootstrap ile hızlı prototipleme yaptım. Mobil alanda Java ile Android uygulamaları geliştirdim ve yapay zeka projelerinde model eğitimi, entegrasyonu ve optimizasyon süreçlerine katkı sağladım."
Adresim,Bulunduğun lokasyon nedir?,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Eğitim Geçmişim,Akademik derecen nedir?,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Mevcut İşim,Şu anda nerede çalışıyorsun?,2024 Haziran ayından beri ARAL bünyesinde bulunan Hometech firmasında Ar-Ge merkezinde yazılım geliştirici olarak görev yapıyorum.
Mail Adresim,Mailin ne?,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
Mail Adresim,Hangi e-posta üzerinden iletişim kurabilirim?,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
İş Deneyimim,Daha önce hangi pozisyonlarda bulundun?,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
İş Deneyimim,Tecrübelerin hakkında bilgi verir misin?,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
Kariyer Hedeflerim,Beş yıl sonra nerede olmayı planlıyorsun?,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
İş Deneyimim,İş tecrübelerin nelerdir?,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
Mail Adresim,E-posta bilgilerin nelerdir?,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
Yaşım,Kaç yılında doğdunuz,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Yabancı Dillerim,İngilizce seviyen ne?,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
